year	step	length	number
1998	3	72	28
1998	3	76	32
1998	3	80	41
1998	3	84	41
1998	3	88	26
1998	3	92	24
1998	3	96	23
1998	4	100	69
1998	4	104	45
1998	4	108	23
1998	4	112	18
1998	4	116	15
1998	4	120	2
1998	4	124	11
1998	4	128	4
1998	4	132	4
1998	4	136	4
1998	4	148	1
1998	4	156	2
1998	4	32	1
1998	4	48	6
1998	4	52	15
1998	4	56	27
1998	4	60	39
1998	4	64	57
1998	4	68	68
1998	4	72	82
1998	4	76	96
1998	4	80	116
1998	4	84	111
1998	4	88	76
1998	4	92	66
1998	4	96	51
1999	1	100	28
1999	1	104	26
1999	1	108	13
1999	1	112	12
1999	1	116	6
1999	1	120	5
1999	1	124	2
1999	1	128	1
1999	1	132	1
1999	1	148	1
1999	1	156	1
1999	1	44	1
1999	1	48	6
1999	1	52	24
1999	1	56	39
1999	1	60	66
1999	1	64	75
1999	1	68	70
1999	1	72	79
1999	1	76	81
1999	1	80	99
1999	1	84	96
1999	1	88	83
1999	1	92	45
1999	1	96	40
1999	2	100	23
1999	2	104	21
1999	2	108	18
1999	2	112	7
1999	2	116	3
1999	2	120	4
1999	2	124	1
1999	2	128	2
1999	2	132	2
1999	2	156	1
1999	2	60	2
1999	2	64	18
1999	2	68	45
1999	2	72	43
1999	2	76	42
1999	2	80	44
1999	2	84	41
1999	2	88	49
1999	2	92	28
1999	2	96	23
1999	3	100	39
1999	3	104	26
1999	3	108	26
1999	3	112	14
1999	3	116	24
1999	3	120	11
1999	3	124	6
1999	3	128	4
1999	3	132	2
1999	3	136	4
1999	3	140	4
1999	3	144	1
1999	3	152	2
1999	3	68	2
1999	3	72	2
1999	3	76	10
1999	3	80	12
1999	3	84	18
1999	3	88	28
1999	3	92	28
1999	3	96	37
1999	4	100	17
1999	4	104	16
1999	4	108	9
1999	4	112	16
1999	4	116	8
1999	4	120	5
1999	4	140	1
1999	4	148	1
1999	4	40	1
1999	4	60	3
1999	4	64	5
1999	4	68	15
1999	4	72	15
1999	4	76	23
1999	4	80	44
1999	4	84	36
1999	4	88	38
1999	4	92	29
1999	4	96	33
2000	1	100	17
2000	1	104	9
2000	1	108	5
2000	1	112	2
2000	1	116	5
2000	1	120	4
2000	1	124	4
2000	1	128	5
2000	1	140	2
2000	1	144	1
2000	1	56	4
2000	1	60	9
2000	1	64	8
2000	1	68	6
2000	1	72	6
2000	1	76	3
2000	1	80	10
2000	1	84	14
2000	1	88	21
2000	1	92	13
2000	1	96	15
2000	2	100	54
2000	2	104	47
2000	2	108	37
2000	2	112	31
2000	2	116	13
2000	2	120	14
2000	2	124	13
2000	2	128	13
2000	2	132	3
2000	2	136	2
2000	2	144	3
2000	2	148	2
2000	2	152	1
2000	2	156	4
2000	2	52	5
2000	2	56	9
2000	2	60	24
2000	2	64	31
2000	2	68	44
2000	2	72	46
2000	2	76	55
2000	2	80	86
2000	2	84	76
2000	2	88	75
2000	2	92	63
2000	2	96	46
2000	3	100	19
2000	3	104	23
2000	3	108	12
2000	3	112	7
2000	3	116	2
